datetime,open,high,low,close,volume
2024-09-08T00:00:00+00:00,35170.92,36549.34,35132.09,35987.04,183378
2024-09-11T00:00:00+00:00,35987.04,37268.71,35252.55,36648,295154.2683504341
2024-09-14T00:00:00+00:00,36650.5,36936.8,36409.04,36767.28,21794.92551361383
2024-09-17T00:00:00+00:00,36767.28,38133.98,36002.29,38081.98,225100
2024-09-20T00:00:00+00:00,38081.98,38597.16,37806.96,38584.66,76501
2024-09-23T00:00:00+00:00,38584.66,38817.16,37856.65,38560.37,159384.17585848074
2024-09-26T00:00:00+00:00,38560.37,40059.8,37412.82,37487.3,138394.34130688448
2024-09-29T00:00:00+00:00,37489.8,38919.14,37489.8,38095.15,134821
2024-10-02T00:00:00+00:00,38095.15,39790.55,37825.13,39713.03,189868.2952283746
2024-10-05T00:00:00+00:00,39713.03,40001.06,38836.5,39093.51,58375
2024-10-08T00:00:00+00:00,39093.51,39851.57,38841.51,39584.4,151218.19527293192
2024-10-11T00:00:00+00:00,39584.4,40056.9,39512.4,39838.03,43514
2024-10-14T00:00:00+00:00,39838.03,40387.78,38945.28,39453.99,126361
2024-10-17T00:00:00+00:00,39453.99,39523.49,38863.97,39258.68,86278
2024-10-20T00:00:00+00:00,39258.68,39349.39,38275.18,38512.51,86250
2024-10-23T00:00:00+00:00,38512.51,38622.52,37727.5,38167.84,142748.16101341328
2024-10-26T00:00:00+00:00,38172.84,38848.75,37306.77,38586.72,50373
2024-10-29T00:00:00+00:00,38586.72,39801.48,38186.58,38309.41,191670.46206245144
2024-11-01T00:00:00+00:00,38309.41,38851.91,38016.89,38395.42,59944
2024-11-04T00:00:00+00:00,38395.42,40210.97,38213.17,39865.94,222527
2024-11-07T00:00:00+00:00,39865.94,39970.95,38941.32,39101.32,146080
2024-11-10T00:00:00+00:00,39101.32,39902.37,39012.38,39407.65,106241
2024-11-13T00:00:00+00:00,39407.65,39460.14,37870.31,38053.3,222360
2024-11-16T00:00:00+00:00,38053.3,38600.97,37936.48,38391.77,64767
2024-11-19T00:00:00+00:00,38391.77,38601.79,37717.26,38215.02,237821
2024-11-22T00:00:00+00:00,38215.02,38860.72,38058.02,38768.73,69564
2024-11-25T00:00:00+00:00,38768.73,39085.73,37653.67,37916.44,185818
2024-11-28T00:00:00+00:00,37916.44,38526.71,37818.92,38204.9,80144.54660452978
2024-12-01T00:00:00+00:00,38204.9,39435.11,37866.11,39309.3,110671
2024-12-04T00:00:00+00:00,39309.3,39786.31,38953.29,39298.29,137396
2024-12-07T00:00:00+00:00,39298.29,39529.04,38979.03,39369.28,49898
2024-12-10T00:00:00+00:00,39369.28,40169.99,39132.51,39770.01,131702.63300928398
2024-12-13T00:00:00+00:00,39770.01,39837.51,39342.99,39627.99,45582
2024-12-16T00:00:00+00:00,39627.99,39905.01,38322.99,38393.01,154428.66587614958
2024-12-19T00:00:00+00:00,38393.01,39482.51,38378.01,38939.92,188220
2024-12-22T00:00:00+00:00,38939.92,39483.94,38939.92,39374.43,86726.19497282608
2024-12-25T00:00:00+00:00,39269,40546.58,39254,40201.56,107803.67967768355
2024-12-28T00:00:00+00:00,40201.56,40448.38,39365.86,39573.89,75723
2024-12-31T00:00:00+00:00,39573.89,39802.41,39266.41,39457.65,103244.03698992543
